"BasePath","HasWSC","HasSCO","WSCBytes","SCOBytes","WSCHead","SCOHead"
"game\content_extracted\release64\dlc\zombiepack\missions\zombie01\zombie01","True","True","45185","48333","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\missions\zombie02\zombie02","True","True","59831","66465","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\missions\zombie03\zombie03","True","True","53835","59042","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\missions\zombie04\zombie04","True","True","32555","34225","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\north\great_plains\beechershope\beechershope_false_z","True","True","6485","6595","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\north\great_plains\beechershope\beechershope_z","True","True","29324","31270","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\north\great_plains\blackwater\blackwater_z","True","True","50362","55249","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\north\great_plains\greatplains_dismount_z","True","True","2012","2056","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\north\great_plains\greatplains_z","True","True","15394","16561","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\north\great_plains\wreckserendipity\wreckserendipity_z","True","True","28466","30322","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\north\tall_trees\cochinay\cochinay_z","True","True","26287","27921","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\north\tall_trees\manzanita_post\manzanitapost_z","True","True","28208","30094","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\north\tall_trees\pacific_union_railroad_camp\pacificunionrailroadcamp_z","True","True","28456","30358","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\north\tall_trees\talltrees_z","True","True","17691","19345","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\rcm\blackwater\rcm_blackwater1","True","True","20022","20885","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\rcm\blackwater\rcm_blackwater2","True","True","19695","20628","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\rcm\blackwater\rcm_blackwater3","True","True","19887","20710","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\rcm\blackwater\rcm_blackwater5","True","True","21209","22208","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\rcm\bonnie\rcm_bonnie1","True","True","18300","19020","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\rcm\bonnie\rcm_bonnie2","True","True","21320","22171","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\rcm\bonnie\rcm_bonnie3","True","True","19009","19777","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\rcm\false\rcm_false1","True","True","15086","15629","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\rcm\mackenna\rcm_mackenna1","True","True","19782","20614","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\rcm\mackenna\rcm_mackenna2","True","True","21902","22843","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\rcm\marshal\rcm_marshal1","True","True","19870","20710","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\rcm\marshal\rcm_marshal2","True","True","20959","21881","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\rcm\marshal\rcm_marshal3","True","True","19830","20684","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\rcm\marshal\rcm_marshal4","True","True","19318","20071","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\rcm\merchant\rcm_merchant1","True","True","19313","20099","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\rcm\merchant\rcm_merchant2","True","True","20769","21682","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\rcm\merchant\rcm_merchant3","True","True","12938","13429","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\rcm\merchant\rcm_merchant4","True","True","20112","20969","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\rcm\missing\rcm_missing1","True","True","20061","20994","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\rcm\missing\rcm_missing2","True","True","25272","26481","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\rcm\missing\rcm_missing3","True","True","18544","19311","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
