offset,offset_hex,length,text,population_term,string_class
36369,0x8E11,4,'XYZ,,unknown
36426,0x8E4A,4,'[\],,debug/display text
36450,0x8E62,4,'^_`,,unknown
36476,0x8E7C,4,'abc,,unknown
36502,0x8E96,4,'fgh,,unknown
36565,0x8ED5,4,'ijk,,unknown
36593,0x8EF1,4,'lmn,,unknown
36621,0x8F0D,4,'opq,,unknown
36649,0x8F29,4,'tuv,,unknown
36717,0x8F6D,4,'wxy,,unknown
36747,0x8F8B,4,'z{|,,unknown
40130,0x9CC2,56,<o6STAT_SET_BIT: Attempting to use a Stat out of bounds.,,debug/display text
40237,0x9D2D,56,<o6STAT_SET_BIT: Attempting to use a Stat out of bounds.,,debug/display text
40675,0x9EE3,4,=4%4,,debug/display text
40757,0x9F35,4,=4%4,,debug/display text
40931,0x9FE3,4,R9T.,,unknown
40966,0xA006,16,challenge_01_128,,unknown
41001,0xA029,4,RH|8,,unknown
41069,0xA06D,13,COOP_icon_128,,unknown
41706,0xA2EA,20,SC_AA_Pikes_Icon_128,,unknown
41734,0xA306,21,SC_AA_Mercer_Icon_128,,unknown
41763,0xA323,21,SC_AA_Tesoro_Icon_128,,unknown
41792,0xA340,23,SC_AA_Gaptooth_Icon_128,,unknown
41823,0xA35F,24,SC_AA_TwinRocks_Icon_128,,unknown
